dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.145703,2.176004,0.000200,0.020000,1.000000,50.000000,0.000640
0.020000,0.145760,2.176004,0.000258,0.002882,-0.855917,-92.795849,0.000475
0.020000,0.145876,2.176004,0.000373,0.005759,0.143885,49.990093,0.000146
0.020000,0.147738,2.176003,0.002235,0.093133,4.368664,211.238951,6.282838
0.020000,0.151168,2.176001,0.005665,0.171488,3.917758,-22.545283,6.282182
0.020000,0.155455,2.175995,0.009952,0.214331,2.142154,-88.780193,6.281363
0.020000,0.160598,2.175983,0.015095,0.257155,2.141186,-0.048406,6.280382
0.020000,0.166597,2.175963,0.021094,0.299956,2.140091,-0.054758,6.279242
0.020000,0.173451,2.175931,0.027949,0.342731,2.138704,-0.069339,6.277943
0.020000,0.181161,2.175885,0.035658,0.385472,2.137098,-0.080294,6.276488
0.020000,0.189724,2.175821,0.044222,0.428182,2.135484,-0.080733,6.274877
0.020000,0.199141,2.175734,0.053639,0.470849,2.133321,-0.108119,6.273114
0.020000,0.209409,2.175621,0.063908,0.513475,2.131344,-0.098886,6.271202
0.020000,0.220530,2.175476,0.075029,0.556053,2.128872,-0.123563,6.269141
0.020000,0.232500,2.175295,0.087001,0.598580,2.126346,-0.126344,6.266937
0.020000,0.245319,2.175072,0.099822,0.641048,2.123392,-0.147684,6.264591
0.020000,0.258985,2.174801,0.113491,0.683457,2.120485,-0.145363,6.262108
0.020000,0.273498,2.174476,0.128007,0.725802,2.117219,-0.163268,6.259491
0.020000,0.288854,2.174091,0.143369,0.768077,2.113741,-0.173920,6.256743
0.020000,0.305054,2.173639,0.159574,0.810275,2.109914,-0.191348,6.253871
0.020000,0.322093,2.173114,0.176622,0.852397,2.106105,-0.190452,6.250876
0.020000,0.339972,2.172508,0.194511,0.894434,2.101839,-0.213316,6.247766
0.020000,0.358687,2.171814,0.213238,0.936384,2.097495,-0.217164,6.244544
0.020000,0.378236,2.171026,0.232803,0.978238,2.092712,-0.239175,6.241216
0.020000,0.398616,2.170135,0.253203,1.019996,2.087908,-0.240207,6.237788
0.020000,0.419825,2.169134,0.274436,1.061650,2.082687,-0.261028,6.234265
0.020000,0.441861,2.168015,0.296500,1.103196,2.077306,-0.269028,6.230654
0.020000,0.464720,2.166771,0.319393,1.144630,2.071692,-0.280712,6.226960
0.020000,0.488399,2.165393,0.343111,1.185945,2.065753,-0.296951,6.223192
0.020000,0.512894,2.163875,0.367654,1.227137,2.059625,-0.306413,6.219356
0.020000,0.538203,2.162207,0.393018,1.268202,2.053231,-0.319676,6.215458
0.020000,0.564323,2.160384,0.419201,1.309134,2.046618,-0.330659,6.211508
0.020000,0.591248,2.158396,0.446199,1.349929,2.039714,-0.345202,6.207512
0.020000,0.618976,2.156237,0.474011,1.390581,2.032621,-0.354647,6.203479
0.020000,0.647502,2.153900,0.502633,1.431086,2.025257,-0.368212,6.199416
0.020000,0.676822,2.151378,0.532062,1.471439,2.017643,-0.380710,6.195334
0.020000,0.706933,2.148663,0.562294,1.511636,2.009841,-0.390106,6.191241
0.020000,0.737829,2.145751,0.593328,1.551671,2.001768,-0.403632,6.187145
0.020000,0.769507,2.142633,0.625159,1.591541,1.993490,-0.413887,6.183057
0.020000,0.801962,2.139306,0.657783,1.631241,1.984994,-0.424825,6.178986
0.020000,0.835189,2.135762,0.691199,1.670766,1.976270,-0.436207,6.174942
0.020000,0.869183,2.131999,0.725401,1.710113,1.967342,-0.446370,6.170936
0.020000,0.903941,2.128011,0.760386,1.749277,1.958201,-0.457076,6.166977
0.020000,0.939456,2.123794,0.796152,1.788254,1.948862,-0.466946,6.163076
0.020000,0.975725,2.119346,0.832692,1.827041,1.939320,-0.477089,6.159245
0.020000,1.012743,2.114663,0.870005,1.865632,1.929586,-0.486707,6.155495
0.020000,1.050505,2.109745,0.908086,1.904026,1.919656,-0.496486,6.151836
0.020000,1.089005,2.104588,0.946930,1.942217,1.909548,-0.505395,6.148281
0.020000,1.128240,2.099193,0.986534,1.980201,1.899225,-0.516167,6.144841
0.020000,1.168204,2.093561,1.026893,2.017976,1.888756,-0.523429,6.141528
0.020000,1.208894,2.087691,1.068004,2.055538,1.878081,-0.533781,6.138354
0.020000,1.250304,2.081587,1.109862,2.092882,1.867230,-0.542565,6.135332
0.020000,1.292430,2.075250,1.152462,2.130006,1.856172,-0.552860,6.132475
0.020000,1.335268,2.068685,1.195800,2.166905,1.844964,-0.560429,6.129795
0.020000,1.378814,2.061896,1.239872,2.203576,1.833546,-0.570870,6.127304
0.020000,1.423063,2.054890,1.284672,2.240015,1.821941,-0.580259,6.125018
0.020000,1.468011,2.047672,1.330196,2.276217,1.810118,-0.591161,6.122948
0.020000,1.513656,2.040250,1.376440,2.312180,1.798127,-0.599543,6.121109
0.020000,1.559992,2.032635,1.423398,2.347898,1.785901,-0.611279,6.119515
0.020000,1.607017,2.024836,1.471065,2.383367,1.773465,-0.621828,6.118180
0.020000,1.654727,2.016864,1.519437,2.418583,1.760791,-0.633691,6.117118
0.020000,1.703119,2.008732,1.568508,2.453541,1.747898,-0.644664,6.116344
0.020000,1.752191,2.000455,1.618272,2.488236,1.734745,-0.657622,6.115874
0.020000,1.801939,1.992048,1.668726,2.522663,1.721343,-0.670138,6.115722
0.020000,1.852360,1.983527,1.719862,2.556816,1.707672,-0.683524,6.115904
0.020000,1.903453,1.974912,1.771676,2.590691,1.693728,-0.697218,6.116436
0.020000,1.955214,1.966222,1.824161,2.624281,1.679500,-0.711408,6.117334
0.020000,2.007642,1.957479,1.877313,2.657580,1.664983,-0.725835,6.118615
0.020000,2.060733,1.948707,1.931125,2.690584,1.650168,-0.740746,6.120296
0.020000,2.114487,1.939928,1.985590,2.723285,1.635056,-0.755598,6.122394
0.020000,2.168901,1.931172,2.040704,2.755678,1.619649,-0.770354,6.124926
0.020000,2.223972,1.922465,2.096459,2.787757,1.603953,-0.784810,6.127912
0.020000,2.279698,1.913838,2.152849,2.819516,1.587978,-0.798717,6.131368
0.020000,2.336078,1.905324,2.209868,2.850951,1.571750,-0.811435,6.135313
0.020000,2.393109,1.896957,2.267509,2.882057,1.555289,-0.823041,6.139767
0.020000,2.450787,1.888771,2.325766,2.912830,1.538630,-0.832942,6.144748
0.020000,2.509111,1.880807,2.384631,2.943266,1.521837,-0.839642,6.150276
0.020000,2.568078,1.873104,2.444099,2.973365,1.504947,-0.844519,6.156369
0.020000,2.627683,1.865703,2.504161,3.003127,1.488074,-0.843645,6.163047
0.020000,2.687922,1.858651,2.564812,3.032553,1.471291,-0.839163,6.170329
0.020000,2.748792,1.851993,2.626045,3.061647,1.454721,-0.828483,6.178235
0.020000,2.810287,1.845778,2.687854,3.090417,1.438506,-0.810774,6.186782
0.020000,2.872402,1.840056,2.750231,3.118874,1.422815,-0.784508,6.195988
0.020000,2.935129,1.834882,2.813172,3.147030,1.407839,-0.748841,6.205871
0.020000,2.998462,1.830309,2.876670,3.174906,1.393799,-0.701987,6.216447
0.020000,3.062393,1.826395,2.940720,3.202525,1.380919,-0.643973,6.227731
0.020000,3.126912,1.823198,3.005319,3.229916,1.369543,-0.568813,6.239734
0.020000,3.192010,1.820780,3.070461,3.257114,1.359945,-0.479927,6.252469
0.020000,3.257674,1.819202,3.136144,3.284164,1.352466,-0.373945,6.265944
0.020000,3.323893,1.818527,3.202366,3.311111,1.347340,-0.256298,6.280165
0.020000,3.390653,1.818822,3.269127,3.338017,1.345313,-0.101312,0.011948
0.020000,3.466796,1.819377,3.345273,3.807297,23.464022,1105.935443,6.276297
0.020000,3.551607,1.817400,3.430106,4.241662,21.718241,-87.289061,6.244192
0.020000,3.635518,1.812940,3.514136,4.201495,-2.008361,-1186.330102,6.216671
0.020000,3.718633,1.806402,3.597507,4.168560,-1.646759,18.080101,6.193319
0.020000,3.801055,1.798138,3.680343,4.141780,-1.338980,15.388959,6.173785
0.020000,3.882886,1.788463,3.762743,4.120040,-1.087012,12.598401,6.157781
0.020000,3.964217,1.777663,3.844788,4.102237,-0.890140,9.843560,6.145080
0.020000,4.045127,1.766002,3.926534,4.087302,-0.746748,7.169626,6.135519
0.020000,4.125681,1.753730,4.008018,4.074192,-0.655483,4.563268,6.128994
0.020000,4.205929,1.741092,4.089255,4.061870,-0.616129,1.967696,6.125458
0.020000,4.285903,1.728330,4.170241,4.049279,-0.629554,-0.671247,6.124928
0.020000,4.365613,1.715692,4.250947,4.035296,-0.699136,-3.479112,6.127483
0.020000,4.445047,1.703435,4.331321,4.018692,-0.830217,-6.554058,6.133272
0.020000,4.524163,1.691835,4.411282,3.998074,-1.030892,-10.033727,6.142524
0.020000,4.602882,1.681184,4.490718,3.971808,-1.313282,-14.119515,6.155562
0.020000,4.681080,1.671804,4.569478,3.937967,-1.692077,-18.939777,6.172819
0.020000,4.758577,1.664044,4.647362,3.894192,-2.188751,-24.833655,6.194860
0.020000,4.835114,1.658287,4.724115,3.837673,-2.825950,-31.859961,6.222415
0.020000,4.910340,1.654944,4.799415,3.765005,-3.633367,-40.370852,6.256405
0.020000,4.983785,1.654446,4.872862,3.672333,-4.633618,-50.012537,0.014785
0.020000,5.054842,1.657224,4.943974,3.555592,-5.837074,-60.172844,0.065301
0.020000,5.122766,1.663671,5.012203,3.411476,-7.205776,-68.435055,0.126330
0.020000,5.186708,1.674087,5.076988,3.239224,-8.612606,-70.341512,0.199475
0.020000,5.245833,1.688627,5.137874,3.044316,-9.745388,-56.639087,0.286031
0.020000,5.299543,1.707294,5.194736,2.843093,-10.061157,-15.788456,0.386357
0.020000,5.347765,1.730070,5.248065,2.666472,-8.831059,61.504893,0.499049
0.020000,5.391107,1.757179,5.299188,2.556127,-5.517235,165.691177,0.620323
0.020000,5.430661,1.789333,5.350162,2.548688,-0.371936,257.264985,0.744303
0.020000,5.467444,1.827630,5.403262,2.655030,5.317094,284.451490,0.864494
0.020000,5.501936,1.873092,5.460327,2.853262,9.911602,229.725363,0.975652
0.020000,5.534043,1.926197,5.522384,3.102840,12.478900,128.364931,1.074845
0.020000,5.563386,1.986769,5.589689,3.365257,13.120817,32.095829,1.161342
0.020000,5.589588,2.054157,5.661992,3.615148,12.494565,-31.312591,1.235857
0.020000,5.612424,2.127495,5.738803,3.840543,11.269761,-61.240199,1.299785
0.020000,5.631797,2.205740,5.819411,4.030404,9.493054,-88.835327,1.354591
0.020000,5.647736,2.287740,5.902945,4.176702,7.314874,-108.909045,1.401613
0.020000,5.660418,2.372603,5.988751,4.290263,5.678057,-81.840812,1.442154
0.020000,5.670092,2.459736,6.076419,4.383446,4.659137,-50.946008,1.477372
0.020000,5.677011,2.548674,6.165626,4.460319,3.843685,-40.772594,1.508199
0.020000,5.681416,2.639051,6.256110,4.524220,3.195045,-32.432013,1.535381
0.020000,5.683530,2.730578,6.347661,4.577557,2.666824,-26.411071,1.559514
0.020000,5.683709,2.821090,6.438174,4.525652,-2.595234,-263.102855,1.574586
0.020000,5.682967,2.918491,6.535578,4.870178,17.226312,991.077286,1.582004
0.020000,5.681564,3.016378,6.633474,4.894825,1.232330,-799.699124,1.588013
0.020000,5.679631,3.114741,6.731857,4.919109,1.214224,-0.905306,1.592635
0.020000,5.677301,3.213576,6.830719,4.943115,1.200294,-0.696481,1.595886
0.020000,5.674703,3.312880,6.930057,4.966916,1.190061,-0.511672,1.597776
0.020000,5.671973,3.412655,7.029869,4.990598,1.184089,-0.298596,1.598314
0.020000,5.669243,3.512902,7.130154,5.014245,1.182341,-0.087370,1.597500
0.020000,5.666651,3.613628,7.230913,5.037944,1.184925,0.129206,1.595331
0.020000,5.664334,3.714837,7.332149,5.061776,1.191604,0.333946,1.591801
0.020000,5.662436,3.816536,7.433865,5.085827,1.202575,0.548556,1.586897
0.020000,5.661100,3.918731,7.536069,5.110176,1.217426,0.742525,1.580600
0.020000,5.660477,4.021426,7.638766,5.134893,1.235872,0.922328,1.572892
0.020000,5.660721,4.124627,7.741967,5.160050,1.257855,1.099107,1.563745
0.020000,5.661990,4.228334,7.845682,5.185704,1.282700,1.242286,1.553132
0.020000,5.664450,4.332542,7.949919,5.211895,1.309541,1.342054,1.541022
0.020000,5.668270,4.437246,8.054693,5.238654,1.337961,1.420959,1.527382
0.020000,5.673628,4.542429,8.160012,5.265990,1.366770,1.440477,1.512180
0.020000,5.680705,4.648070,8.265890,5.293884,1.394694,1.396173,1.495383
0.020000,5.689688,4.754136,8.372336,5.322287,1.420186,1.274643,1.476962
0.020000,5.700771,4.860583,8.479358,5.351116,1.441418,1.061593,1.456893
0.020000,5.714148,4.967353,8.586963,5.380245,1.456471,0.752620,1.435159
0.020000,5.730017,5.074373,8.695153,5.409493,1.462375,0.295216,1.411752
0.020000,5.748576,5.181551,8.803925,5.438631,1.456900,-0.273735,1.386679
0.020000,5.770016,5.288776,8.913273,5.467379,1.437423,-0.973882,1.359963
0.020000,5.794523,5.395916,9.023181,5.495393,1.400680,-1.837151,1.331644
0.020000,5.822272,5.502819,9.133626,5.522283,1.344542,-2.806858,1.301787
0.020000,5.853420,5.609310,9.244579,5.547616,1.266605,-3.896891,1.270482
0.020000,5.888103,5.715193,9.355998,5.570936,1.166023,-5.029076,1.237843
0.020000,5.926428,5.820256,9.467833,5.591776,1.042020,-6.200168,1.204012
0.020000,5.968474,5.924273,9.580027,5.609683,0.895328,-7.334609,1.169156
0.020000,6.014283,6.027009,9.692512,5.624273,0.729493,-8.291724,1.133466
0.020000,6.063858,6.128224,9.805216,5.635217,0.547186,-9.115335,1.097151
0.020000,6.117163,6.227686,9.918062,5.642270,0.352659,-9.726351,1.060431
0.020000,6.174126,6.325171,10.030970,5.645382,0.155627,-9.851640,1.023534
0.020000,6.234636,6.420475,10.143860,5.644513,-0.043443,-9.953493,0.986686
0.020000,6.298551,6.513415,10.256656,5.639825,-0.234396,-9.547661,0.950106
0.020000,6.365705,6.603839,10.369289,5.631616,-0.410460,-8.803173,0.913996
0.020000,6.435909,6.691622,10.481693,5.620197,-0.570958,-8.024889,0.878539
0.020000,6.508963,6.776676,10.593813,5.606032,-0.708253,-6.864750,0.843894
0.020000,6.584657,6.858940,10.705603,5.589479,-0.827640,-5.969344,0.810193
0.020000,6.662781,6.938386,10.817026,5.571157,-0.916117,-4.423853,0.777541
0.020000,6.743129,7.015012,10.928054,5.551412,-0.987249,-3.556599,0.746018
0.020000,6.821181,7.085195,11.033019,5.248250,-15.158112,-708.543145,0.718750
0.020000,6.905173,7.156549,11.143228,5.510466,13.110803,1413.445746,0.689568
0.020000,6.991446,7.225554,11.253704,5.523754,0.664423,-622.319024,0.659629
0.020000,7.079959,7.292059,11.364417,5.535665,0.595531,-3.444596,0.629006
0.020000,7.170655,7.355914,11.475337,5.546002,0.516864,-3.933347,0.597793
0.020000,7.263458,7.416977,11.586427,5.554513,0.425553,-4.565540,0.566093
0.020000,7.358270,7.475118,11.697646,5.560950,0.321842,-5.185578,0.534025
0.020000,7.454977,7.530217,11.808949,5.565127,0.208833,-5.650450,0.501718
0.020000,7.553448,7.582175,11.920287,5.566909,0.089110,-5.986121,0.469310
0.020000,7.653538,7.630909,12.031610,5.566169,-0.037000,-6.305498,0.436943
0.020000,7.755088,7.676361,12.142868,5.562896,-0.163636,-6.331835,0.404764
0.020000,7.857935,7.718493,12.254010,5.557109,-0.289355,-6.285926,0.372916
0.020000,7.961908,7.757295,12.364988,5.548887,-0.411101,-6.087285,0.341538
0.020000,8.066838,7.792780,12.475756,5.538370,-0.525869,-5.738421,0.310761
0.020000,8.172557,7.824982,12.586271,5.525753,-0.630847,-5.248884,0.280706
0.020000,8.278905,7.853960,12.696495,5.511241,-0.725583,-4.736823,0.251481
