dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.145927,1.826004,0.000200,0.020000,1.000000,50.000000,0.000640
0.020000,0.145927,1.826004,0.001000,0.060000,2.000000,50.000000,0.000475
0.020000,0.145927,1.826004,0.002600,0.100000,2.000000,0.000000,0.000146
0.020000,0.147617,1.826003,0.005000,0.140000,2.000000,0.000000,6.282838
0.020000,0.150817,1.826001,0.008200,0.180000,2.000000,-0.000000,6.282182
0.020000,0.154817,1.825995,0.012200,0.220000,2.000000,0.000000,6.281363
0.020000,0.159617,1.825984,0.017000,0.260000,2.000000,0.000000,6.280382
0.020000,0.165217,1.825965,0.022600,0.300000,2.000000,-0.000000,6.279242
0.020000,0.171617,1.825936,0.029000,0.340000,2.000000,0.000000,6.277943
0.020000,0.178816,1.825893,0.036200,0.380000,2.000000,-0.000000,6.276488
0.020000,0.186816,1.825833,0.044200,0.420000,2.000000,0.000000,6.274877
0.020000,0.195616,1.825752,0.053000,0.460000,2.000000,-0.000000,6.273114
0.020000,0.205215,1.825646,0.062600,0.500000,2.000000,0.000000,6.271202
0.020000,0.215614,1.825511,0.073000,0.540000,2.000000,0.000000,6.269141
0.020000,0.226813,1.825341,0.084200,0.580000,2.000000,0.000000,6.266937
0.020000,0.238811,1.825132,0.096200,0.620000,2.000000,-0.000000,6.264591
0.020000,0.251609,1.824878,0.109000,0.660000,2.000000,0.000000,6.262108
0.020000,0.265205,1.824574,0.122600,0.700000,2.000000,0.000000,6.259491
0.020000,0.279601,1.824213,0.137000,0.740000,2.000000,-0.000000,6.256743
0.020000,0.294795,1.823789,0.152200,0.780000,2.000000,0.000000,6.253871
0.020000,0.310787,1.823296,0.168200,0.820000,2.000000,0.000000,6.250876
0.020000,0.327578,1.822727,0.185000,0.860000,2.000000,-0.000000,6.247766
0.020000,0.345166,1.822076,0.202600,0.900000,2.000000,0.000000,6.244544
0.020000,0.363551,1.821334,0.221000,0.940000,2.000000,0.000000,6.241216
0.020000,0.382732,1.820496,0.240200,0.980000,2.000000,0.000000,6.237788
0.020000,0.402710,1.819553,0.260200,1.020000,2.000000,0.000000,6.234265
0.020000,0.423483,1.818498,0.281000,1.060000,2.000000,0.000000,6.230654
0.020000,0.445051,1.817324,0.302600,1.100000,2.000000,0.000000,6.226960
0.020000,0.467413,1.816023,0.325000,1.140000,2.000000,0.000000,6.223192
0.020000,0.490569,1.814587,0.348200,1.180000,2.000000,-0.000000,6.219356
0.020000,0.514517,1.813010,0.372200,1.220000,2.000000,0.000000,6.215458
0.020000,0.539257,1.811282,0.397000,1.260000,2.000000,0.000000,6.211508
0.020000,0.564787,1.809398,0.422600,1.300000,2.000000,0.000000,6.207512
0.020000,0.591108,1.807349,0.449000,1.340000,2.000000,0.000000,6.203479
0.020000,0.618217,1.805128,0.476200,1.380000,2.000000,0.000000,6.199416
0.020000,0.646114,1.802728,0.504200,1.420000,2.000000,-0.000000,6.195334
0.020000,0.674797,1.800142,0.533000,1.460000,2.000000,0.000000,6.191241
0.020000,0.704267,1.797363,0.562600,1.500000,2.000000,0.000000,6.187145
0.020000,0.734521,1.794386,0.593000,1.540000,2.000000,0.000000,6.183057
0.020000,0.765558,1.791204,0.624200,1.580000,2.000000,0.000000,6.178986
0.020000,0.797377,1.787811,0.656200,1.620000,2.000000,0.000000,6.174942
0.020000,0.829978,1.784202,0.689000,1.660000,2.000000,0.000000,6.170936
0.020000,0.863359,1.780372,0.722600,1.700000,2.000000,0.000000,6.166977
0.020000,0.897519,1.776316,0.757000,1.740000,2.000000,-0.000000,6.163076
0.020000,0.932457,1.772031,0.792200,1.780000,2.000000,0.000000,6.159245
0.020000,0.968173,1.767513,0.828200,1.820000,2.000000,0.000000,6.155495
0.020000,1.004664,1.762759,0.865000,1.860000,2.000000,0.000000,6.151836
0.020000,1.041932,1.757768,0.902600,1.900000,2.000000,0.000000,6.148281
0.020000,1.079974,1.752537,0.941000,1.940000,2.000000,0.000000,6.144841
0.020000,1.118790,1.747067,0.980200,1.980000,2.000000,0.000000,6.141528
0.020000,1.158380,1.741356,1.020200,2.020000,2.000000,0.000000,6.138354
0.020000,1.198744,1.735405,1.061000,2.060000,2.000000,0.000000,6.135332
0.020000,1.239881,1.729218,1.102600,2.100000,2.000000,0.000000,6.132475
0.020000,1.281792,1.722795,1.145000,2.140000,2.000000,0.000000,6.129795
0.020000,1.324476,1.716140,1.188200,2.180000,2.000000,0.000000,6.127304
0.020000,1.367935,1.709259,1.232200,2.220000,2.000000,0.000000,6.125018
0.020000,1.412168,1.702155,1.277000,2.260000,2.000000,0.000000,6.122948
0.020000,1.457177,1.694837,1.322600,2.300000,2.000000,0.000000,6.121109
0.020000,1.502963,1.687312,1.369000,2.340000,2.000000,0.000000,6.119515
0.020000,1.549527,1.679589,1.416200,2.380000,2.000000,-0.000000,6.118180
0.020000,1.596870,1.671679,1.464200,2.420000,2.000000,0.000000,6.117118
0.020000,1.644996,1.663592,1.513000,2.460000,2.000000,0.000000,6.116344
0.020000,1.693905,1.655342,1.562600,2.500000,2.000000,0.000000,6.115874
0.020000,1.743600,1.646944,1.613000,2.540000,2.000000,0.000000,6.115722
0.020000,1.794084,1.638413,1.664200,2.580000,2.000000,0.000000,6.115904
0.020000,1.845361,1.629767,1.716200,2.620000,2.000000,0.000000,6.116436
0.020000,1.897432,1.621025,1.769000,2.660000,2.000000,0.000000,6.117334
0.020000,1.950302,1.612208,1.822600,2.700000,2.000000,0.000000,6.118615
0.020000,2.003974,1.603340,1.877000,2.740000,2.000000,0.000000,6.120296
0.020000,2.058452,1.594443,1.932200,2.780000,2.000000,0.000000,6.122394
0.020000,2.113741,1.585546,1.988200,2.820000,2.000000,-0.000000,6.124926
0.020000,2.169844,1.576676,2.045000,2.860000,2.000000,0.000000,6.127912
0.020000,2.226766,1.567864,2.102600,2.900000,2.000000,0.000000,6.131368
0.020000,2.284511,1.559144,2.161000,2.940000,2.000000,0.000000,6.135313
0.020000,2.343084,1.550550,2.220200,2.980000,2.000000,0.000000,6.139767
0.020000,2.402489,1.542120,2.280200,3.020000,2.000000,0.000000,6.144748
0.020000,2.462730,1.533894,2.341000,3.060000,2.000000,0.000000,6.150276
0.020000,2.523811,1.525914,2.402600,3.100000,2.000000,0.000000,6.156369
0.020000,2.585735,1.518226,2.465000,3.140000,2.000000,0.000000,6.163047
0.020000,2.648506,1.510877,2.528200,3.180000,2.000000,0.000000,6.170329
0.020000,2.712127,1.503919,2.592200,3.220000,2.000000,0.000000,6.178235
0.020000,2.776598,1.497403,2.657000,3.260000,2.000000,0.000000,6.186782
0.020000,2.841921,1.491386,2.722600,3.300000,2.000000,0.000000,6.195988
0.020000,2.908096,1.485927,2.789000,3.340000,2.000000,0.000000,6.205871
0.020000,2.975122,1.481088,2.856200,3.380000,2.000000,0.000000,6.216447
0.020000,3.042994,1.476933,2.924200,3.420000,2.000000,0.000000,6.227731
0.020000,3.111709,1.473529,2.993000,3.460000,2.000000,-0.000000,6.239734
0.020000,3.181261,1.470945,3.062600,3.500000,2.000000,0.000000,6.252469
0.020000,3.251640,1.469254,3.133000,3.540000,2.000000,0.000000,6.265944
0.020000,3.322836,1.468529,3.204200,3.580000,2.000000,0.000000,6.280165
0.020000,3.394834,1.468847,3.276200,3.620000,2.000000,0.000000,0.011948
0.020000,3.464386,1.469386,3.349000,3.660000,2.000000,0.000000,6.276297
0.020000,3.537963,1.467666,3.422600,3.700000,2.000000,0.000000,6.244192
0.020000,3.612255,1.463714,3.497000,3.740000,2.000000,0.000000,6.216671
0.020000,3.687222,1.457814,3.572200,3.780000,2.000000,0.000000,6.193319
0.020000,3.762841,1.450230,3.648200,3.820000,2.000000,0.000000,6.173785
0.020000,3.839109,1.441212,3.725000,3.860000,2.000000,0.000000,6.157781
0.020000,3.916033,1.430996,3.802600,3.900000,2.000000,0.000000,6.145080
0.020000,3.993631,1.419811,3.881000,3.940000,2.000000,0.000000,6.135519
0.020000,4.071928,1.407883,3.960200,3.980000,2.000000,0.000000,6.128994
0.020000,4.150954,1.395437,4.040200,4.020000,2.000000,0.000000,6.125458
0.020000,4.230744,1.382704,4.121000,4.060000,2.000000,0.000000,6.124928
0.020000,4.311337,1.369926,4.202600,4.100000,2.000000,-0.000000,6.127483
0.020000,4.392774,1.357361,4.285000,4.140000,2.000000,0.000000,6.133272
0.020000,4.475093,1.345292,4.368200,4.180000,2.000000,0.000000,6.142524
0.020000,4.558335,1.334031,4.452200,4.220000,2.000000,0.000000,6.155562
0.020000,4.642530,1.323934,4.537000,4.260000,2.000000,0.000000,6.172819
0.020000,4.727703,1.315409,4.622600,4.300000,2.000000,0.000000,6.194860
0.020000,4.813857,1.308933,4.709000,4.340000,2.000000,0.000000,6.222415
0.020000,4.900968,1.305069,4.796200,4.380000,2.000000,0.000000,6.256405
0.020000,4.988959,1.304484,4.884200,4.420000,2.000000,0.000000,0.014785
0.020000,5.077681,1.307970,4.973000,4.460000,2.000000,0.000000,0.065301
0.020000,5.166864,1.316460,5.062600,4.500000,2.000000,0.000000,0.126330
0.020000,5.256062,1.331028,5.153000,4.540000,2.000000,0.000000,0.199475
0.020000,5.344585,1.352847,5.244200,4.580000,2.000000,0.000000,0.286031
0.020000,5.431429,1.383093,5.336200,4.620000,2.000000,0.000000,0.386357
0.020000,5.515271,1.422756,5.429000,4.660000,2.000000,0.000000,0.499049
0.020000,5.594561,1.472388,5.522600,4.700000,2.000000,-0.000000,0.620323
0.020000,5.667771,1.531887,5.617000,4.740000,2.000000,0.000000,0.744303
0.020000,5.733712,1.600472,5.712200,4.780000,2.000000,-0.000000,0.864494
0.020000,5.791760,1.676872,5.808200,4.820000,2.000000,0.000000,0.975652
0.020000,5.841874,1.759643,5.905000,4.860000,2.000000,-0.000000,1.074845
0.020000,5.884454,1.847431,6.002600,4.900000,2.000000,0.000000,1.161342
0.020000,5.920139,1.939108,6.101000,4.940000,2.000000,-0.000000,1.235857
0.020000,5.949649,2.033798,6.200200,4.980000,2.000000,0.000000,1.299785
0.020000,5.973649,2.130657,6.300000,5.000000,1.000000,-50.000000,1.354591
0.020000,5.992739,2.228808,6.400000,5.000000,0.000000,-50.000000,1.401613
0.020000,6.007526,2.327702,6.500000,5.000000,0.000000,0.000000,1.442154
0.020000,6.018566,2.427085,6.600000,5.000000,0.000000,0.000000,1.477372
0.020000,6.026326,2.526779,6.700000,5.000000,0.000000,0.000000,1.508199
0.020000,6.031197,2.626658,6.800000,5.000000,0.000000,0.000000,1.535381
0.020000,6.033508,2.726629,6.900000,5.000000,0.000000,0.000000,1.559514
0.020000,6.033707,2.822417,7.000000,5.000000,0.000000,0.000000,1.574586
0.020000,6.032945,2.922414,7.100000,5.000000,0.000000,0.000000,1.582004
0.020000,6.031512,3.022403,7.200000,5.000000,0.000000,0.000000,1.588013
0.020000,6.029548,3.122384,7.300000,5.000000,0.000000,0.000000,1.592635
0.020000,6.027190,3.222356,7.400000,5.000000,0.000000,0.000000,1.595886
0.020000,6.024576,3.322322,7.500000,5.000000,0.000000,0.000000,1.597776
0.020000,6.021840,3.422284,7.600000,5.000000,0.000000,0.000000,1.598314
0.020000,6.019118,3.522247,7.700000,5.000000,0.000000,0.000000,1.597500
0.020000,6.016545,3.622214,7.800000,5.000000,0.000000,0.000000,1.595331
0.020000,6.014257,3.722188,7.900000,5.000000,0.000000,0.000000,1.591801
0.020000,6.012390,3.822171,8.000000,5.000000,0.000000,0.000000,1.586897
0.020000,6.011084,3.922162,8.100000,5.000000,0.000000,0.000000,1.580600
0.020000,6.010477,4.022160,8.200000,5.000000,0.000000,0.000000,1.572892
0.020000,6.010712,4.122159,8.300000,5.000000,0.000000,0.000000,1.563745
0.020000,6.011936,4.222151,8.400000,5.000000,0.000000,0.000000,1.553132
0.020000,6.014295,4.322123,8.500000,5.000000,0.000000,0.000000,1.541022
0.020000,6.017941,4.422056,8.600000,5.000000,0.000000,0.000000,1.527382
0.020000,6.023027,4.521925,8.700000,5.000000,0.000000,0.000000,1.512180
0.020000,6.029710,4.621700,8.800000,5.000000,0.000000,0.000000,1.495383
0.020000,6.038148,4.721342,8.900000,5.000000,0.000000,0.000000,1.476962
0.020000,6.048503,4.820803,9.000000,5.000000,0.000000,0.000000,1.456893
0.020000,6.060933,4.920026,9.100000,5.000000,0.000000,0.000000,1.435159
0.020000,6.075600,5.018942,9.200000,5.000000,0.000000,0.000000,1.411752
0.020000,6.092660,5.117473,9.300000,5.000000,0.000000,0.000000,1.386679
0.020000,6.112266,5.215529,9.400000,5.000000,0.000000,0.000000,1.359963
0.020000,6.134562,5.313009,9.500000,5.000000,0.000000,0.000000,1.331644
0.020000,6.159684,5.409798,9.600000,5.000000,0.000000,0.000000,1.301787
0.020000,6.187755,5.505773,9.700000,5.000000,0.000000,0.000000,1.270482
0.020000,6.218881,5.600801,9.800000,5.000000,0.000000,0.000000,1.237843
0.020000,6.253148,5.694741,9.900000,5.000000,0.000000,0.000000,1.204012
0.020000,6.290622,5.787449,10.000000,5.000000,0.000000,0.000000,1.169156
0.020000,6.331343,5.878776,10.100000,5.000000,0.000000,0.000000,1.133466
0.020000,6.375327,5.968578,10.200000,5.000000,0.000000,0.000000,1.097151
0.020000,6.422561,6.056712,10.300000,5.000000,0.000000,0.000000,1.060431
0.020000,6.473009,6.143048,10.400000,5.000000,0.000000,0.000000,1.023534
0.020000,6.526607,6.227465,10.500000,5.000000,0.000000,0.000000,0.986686
0.020000,6.583268,6.309856,10.600000,5.000000,0.000000,0.000000,0.950106
0.020000,6.642887,6.390134,10.700000,5.000000,0.000000,0.000000,0.913996
0.020000,6.705342,6.468226,10.800000,5.000000,0.000000,0.000000,0.878539
0.020000,6.770496,6.544081,10.900000,5.000000,0.000000,0.000000,0.843894
0.020000,6.838204,6.617665,11.000000,5.000000,0.000000,0.000000,0.810193
