dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.146151,1.476004,0.000200,0.020000,1.000000,50.000000,0.000640
0.020000,0.146093,1.476004,0.000258,0.002882,-0.855917,-92.795849,0.000475
0.020000,0.145978,1.476004,0.000373,0.005759,0.143885,49.990093,0.000146
0.020000,0.147495,1.476003,0.001890,0.075874,3.505729,168.092202,6.282838
0.020000,0.150465,1.476001,0.004861,0.148512,3.631911,6.309081,6.282182
0.020000,0.154179,1.475996,0.008574,0.185669,1.857825,-88.704288,6.281363
0.020000,0.158636,1.475986,0.013031,0.222844,1.858775,0.047530,6.280382
0.020000,0.163837,1.475968,0.018232,0.260044,1.859981,0.060278,6.279242
0.020000,0.169782,1.475941,0.024177,0.297270,1.861303,0.066081,6.277943
0.020000,0.176472,1.475901,0.030868,0.334526,1.862807,0.075235,6.276488
0.020000,0.183908,1.475845,0.038304,0.371820,1.864682,0.093758,6.274877
0.020000,0.192091,1.475770,0.046487,0.409149,1.866465,0.089142,6.273114
0.020000,0.201021,1.475671,0.055417,0.446525,1.868797,0.116605,6.271202
0.020000,0.210699,1.475545,0.065096,0.483947,1.871095,0.114900,6.269141
0.020000,0.221126,1.475388,0.075525,0.521422,1.873746,0.132526,6.266937
0.020000,0.232304,1.475193,0.086704,0.558950,1.876432,0.134304,6.264591
0.020000,0.244232,1.474956,0.098635,0.596542,1.879572,0.157010,6.262108
0.020000,0.256913,1.474672,0.111319,0.634198,1.882820,0.162404,6.259491
0.020000,0.270347,1.474335,0.124757,0.671924,1.886309,0.174423,6.256743
0.020000,0.284536,1.473940,0.138952,0.709723,1.889925,0.180802,6.253871
0.020000,0.299481,1.473479,0.153904,0.747603,1.893995,0.203511,6.250876
0.020000,0.315183,1.472947,0.169615,0.785565,1.898109,0.205678,6.247766
0.020000,0.331644,1.472337,0.186087,0.823617,1.902604,0.224756,6.244544
0.020000,0.348866,1.471642,0.203322,0.861760,1.907165,0.228090,6.241216
0.020000,0.366849,1.470856,0.221323,0.900004,1.912167,0.250067,6.237788
0.020000,0.385595,1.469972,0.240090,0.938349,1.917262,0.254768,6.234265
0.020000,0.405106,1.468981,0.259626,0.976802,1.922680,0.270881,6.230654
0.020000,0.425383,1.467877,0.279933,1.015370,1.928356,0.283829,6.226960
0.020000,0.446428,1.466653,0.301014,1.054054,1.934212,0.292761,6.223192
0.020000,0.468244,1.465300,0.322871,1.092861,1.940365,0.307685,6.219356
0.020000,0.490831,1.463812,0.345507,1.131796,1.946749,0.319181,6.215458
0.020000,0.514191,1.462181,0.368924,1.170864,1.953401,0.332601,6.211508
0.020000,0.538327,1.460399,0.393126,1.210069,1.960255,0.342686,6.207512
0.020000,0.563240,1.458460,0.418114,1.249417,1.967397,0.357135,6.203479
0.020000,0.588932,1.456355,0.443892,1.288912,1.974750,0.367654,6.199416
0.020000,0.615405,1.454077,0.470464,1.328559,1.982327,0.378838,6.195334
0.020000,0.642662,1.451620,0.497831,1.368362,1.990177,0.392503,6.191241
0.020000,0.670704,1.448976,0.525997,1.408327,1.998219,0.402088,6.187145
0.020000,0.699534,1.446139,0.554967,1.448457,2.006504,0.414247,6.183057
0.020000,0.729154,1.443102,0.584742,1.488757,2.015012,0.425389,6.178986
0.020000,0.759566,1.439859,0.615326,1.529231,2.023726,0.435707,6.174942
0.020000,0.790773,1.436404,0.646724,1.569885,2.032660,0.446711,6.170936
0.020000,0.822778,1.432732,0.678938,1.610721,2.041796,0.456793,6.166977
0.020000,0.855582,1.428837,0.711973,1.651743,2.051140,0.467225,6.163076
0.020000,0.889189,1.424716,0.745832,1.692957,2.060681,0.477008,6.159245
0.020000,0.923603,1.420362,0.780520,1.734365,2.070419,0.486905,6.155495
0.020000,0.958824,1.415774,0.816039,1.775972,2.080345,0.496318,6.151836
0.020000,0.994858,1.410948,0.852395,1.817782,2.090470,0.506256,6.148281
0.020000,1.031707,1.405881,0.889591,1.859797,2.100754,0.514217,6.144841
0.020000,1.069376,1.400572,0.927631,1.902022,2.111261,0.525301,6.141528
